id,name,category,dest,area,country,region,email,phone,website,address,lat,lng,hygiene,rating,source,channel,priority,status
ba650ede3adf0d6f8633,Olive,Pharmacy,phuket,Karon,TH,Asia,,,,,7.83369,98.29531,,,osm,walk-in,6,new
2eb447dcda3f87d7691a,On Hill Residence,Hotel,phuket,Patong,TH,Asia,,,,,7.88225,98.30072,,,osm,walk-in,6,new
60f1160b8687c8cba53f,On Hill Residence Patong Phuket,Hotel,phuket,Patong,TH,Asia,,,https://www.booking.com/hotel/th/patong-bay-view-resort.ru.html?aid=304142;label=gen173nr-1FCA4oggJCAlhYSCFiBW5vcmVmaN0BiAECmAEhuAEJyAER2AEB6AEB-AEGkgIBeagCAw;sid=d0656c2f2faa5c38cdcbeef5a697e037,227/3 50 Pee Road,7.88053,98.3002,,,osm,walk-in,6,new
7124b1fcf2d5ff722648,On the Beach Restaurant,Restaurant,phuket,Patong,TH,Asia,,,,,7.8975,98.2962,,,osm,walk-in,6,new
1046c491c9e0dbf1315f,Ona Active,Gym & fitness,phuket,Chalong,TH,Asia,,,https://onaactive.com,,7.85757,98.33968,,,osm,walk-in,6,new
807b2c40fed5ca538527,One Family Massage and SPA,Massage & spa,phuket,Cape Panwa,TH,Asia,,,,,7.80509,98.40627,,,osm,walk-in,6,new
e6fbcbb1a24078858b68,One loft,Hotel,phuket,Kata,TH,Asia,,,,,7.82677,98.29656,,,osm,walk-in,6,new
a5f23bad2a0325f805a8,One more,Restaurant,phuket,Nai Harn,TH,Asia,,,,,7.76819,98.3069,,,osm,walk-in,6,new
f378077f3686a4f31c9c,Ongsa House,Guesthouse,phuket,Cherngtalay,TH,Asia,,,,,7.99141,98.30769,,,osm,walk-in,6,new
c2f9fb97df76e1de8962,Opal Villa,Hotel,phuket,Nai Harn,TH,Asia,,,,,7.78503,98.30725,,,osm,walk-in,6,new
93e9cab025bbeb71e6bb,Open market,Market,phuket,Old Town,TH,Asia,,,,,7.86171,98.36821,,,osm,walk-in,6,new
cb7760120ae1d63ccaf8,Opus One,Restaurant,phuket,Surin,TH,Asia,,,,,7.97629,98.28437,,,osm,walk-in,6,new
7480dfab25b41907f731,Orange Restaurant,Restaurant,phuket,Patong,TH,Asia,,,,10/1 Soi Rat-U-Thit 200 Pee,7.89628,98.29823,,,osm,walk-in,6,new
39177cf1686ea75e8e4d,Orchid Bar,Bar,phuket,Kamala,TH,Asia,,,,Rim Hat Road,7.94974,98.27987,,,osm,walk-in,6,new
94f41e7785271b2f0b57,Orchid Resortel,Hotel,phuket,Patong,TH,Asia,,,,,7.89285,98.29992,,,osm,walk-in,6,new
8077ee044870122dead4,Orchid Restaurant,Restaurant,phuket,Kata,TH,Asia,,,,,7.81513,98.30038,,,osm,walk-in,6,new
6dad7881a64a3d983ace,Oscar Bar,Bar,phuket,Patong,TH,Asia,,,,,7.89322,98.2983,,,osm,walk-in,6,new
ccef112c7c9cfdf674b1,Otto,Restaurant,phuket,Rawai,TH,Asia,,,,,7.77892,98.32869,,,osm,walk-in,6,new
c8fcd274b66311b85714,Outrigger Laguna Phuket Beach Resort,Hotel,phuket,Bang Tao,TH,Asia,,,,,7.99722,98.29406,,,osm,walk-in,6,new
d17c986864db7263da87,Overgrown Cocktail Bar,Bar,phuket,Bang Tao,TH,Asia,,,,,8.02876,98.29564,,,osm,walk-in,6,new
ebd3f35a10a548729a81,Oyster restaurant,Restaurant,phuket,Patong,TH,Asia,,,,,7.89498,98.30196,,,osm,walk-in,6,new
b439d17744252d111b8d,P.K.Residence,Guesthouse,phuket,Old Town,TH,Asia,,,,,7.88801,98.37604,,,osm,walk-in,6,new
4cb2d8ff3cbb674fba2b,P.S 2 Resort,Hotel,phuket,Patong,TH,Asia,,,,,7.90308,98.30115,,,osm,walk-in,6,new
a1a1ee963a426e934783,P.S Hotel & Restaurant,Hotel,phuket,Patong,TH,Asia,,,https://www.pshotel.com/,,7.89372,98.29874,,,osm,walk-in,6,new
ab4d31058f3cf3b0002a,P2You,Bar,phuket,Kata,TH,Asia,,,,,7.82791,98.29976,,,osm,walk-in,6,new
4c1ab2358f4c976b823e,PIT Thai Food,Restaurant,phuket,Bang Tao,TH,Asia,,,,,7.98709,98.28797,,,osm,walk-in,6,new
c8ff9bf8760682788369,PJ Check-in Mansion,Hotel,phuket,Patong,TH,Asia,,,,,7.89326,98.30257,,,osm,walk-in,6,new
f108df7d12a3b212c54b,PKL Residence,Hotel,phuket,Patong,TH,Asia,,,,,7.88599,98.2976,,,osm,walk-in,6,new
dff58481705024e76532,PKT Sexy Nights Exclusive Club,Nightlife,phuket,Phuket Town,TH,Asia,,,,,7.87881,98.39644,,,osm,walk-in,6,new
72667da1a2ca9fca55a5,PL House,Hotel,phuket,Patong,TH,Asia,,,,,7.88995,98.29663,,,osm,walk-in,6,new
f7b54f982225e4a64bc3,PLOY,Restaurant,phuket,Patong,TH,Asia,,,,27/6 Sai Nam Yen Road,7.89603,98.30328,,,osm,walk-in,6,new
566ca5cb7510aab603d6,PSU Lodge,Hotel,phuket,Kathu,TH,Asia,,,,,7.89391,98.35185,,,osm,walk-in,6,new
04d4a71b95ca97372407,Pa Lai Seafood Restaurant ,Restaurant,phuket,Chalong,TH,Asia,,,,,7.83854,98.36458,,,osm,walk-in,6,new
27bf58d6543334d14dd8,Pacific Club Resort,Hotel,phuket,Karon,TH,Asia,,,,,7.85707,98.29583,,,osm,walk-in,6,new
f9b0154f72fa487691c4,Pacific Inn,Hotel,phuket,Phuket Town,TH,Asia,,,,,7.87747,98.39307,,,osm,walk-in,6,new
6819dd63d8b86632140c,Packey,Restaurant,phuket,Bang Tao,TH,Asia,,,,,7.99449,98.2914,,,osm,walk-in,6,new
eec1f816096c1d92d052,Pai Kao Haab,Restaurant,phuket,Kamala,TH,Asia,,,,,7.9486,98.28392,,,osm,walk-in,6,new
e1d143edd6bf64440058,Palm Building,Hotel,phuket,Karon,TH,Asia,,,,346 Patak Road Karon,7.83628,98.29956,,,osm,walk-in,6,new
d6380c2d89d124c87beb,Palm Garden Resort,Hotel,phuket,Chalong,TH,Asia,,,,,7.81858,98.34123,,,osm,walk-in,6,new
6221753c1fbf4016e1d6,Palm Oasis Boutique Hotel,Hotel,phuket,Nai Harn,TH,Asia,,,,22/65 Naya Rawai,7.78744,98.31647,,,osm,walk-in,6,new
8d0125388f8879515c50,Palm Patong Resort,Hotel,phuket,Patong,TH,Asia,,,,,7.88102,98.29291,,,osm,walk-in,6,new
8150c8d0e16556982bb1,Pan Asian,Street food,phuket,Rawai,TH,Asia,,,,,7.77128,98.31975,,,osm,walk-in,6,new
1abeb2adcba1707f6032,Pan Pizza,Street food,phuket,Kata,TH,Asia,,,,,7.82086,98.30563,,,osm,walk-in,6,new
